brand,price,model,model_year,milage,fuel_type,transmission,engine,accident
RAM,"$35,113",1500 Classic SLT,2021,"32,092 mi.",Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported
Lexus,"$23,998",GS 350 Base,2014,"85,275 mi.",Gasoline,Automatic,3.5 Liter,At least 1 accident or damage reported
Hyundai,"$10,990",Tucson Limited,2016,"138,000 mi.",Gasoline,7-Speed A/T,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$16,999",SSR Base,2003,"87,500 mi.",Gasoline,A/T,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Maserati,"$38,900",GranTurismo Base,2013,"34,920 mi.",Gasoline,6-Speed A/T,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$65,999",Model X Performance,2020,"27,224 mi.",,1-Speed Automatic,Electric,None reported
BMW,"$52,000",M2 Base,2018,"25,000 mi.",Gasoline,7-Speed A/T,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$48,500",Model Y Long Range,2021,"14,642 mi.",,A/T,425.0HP Electric Motor Electric Fuel System,None reported
Subaru,"$13,999",Outback 2.5i Limited,2015,"162,000 mi.",Gasoline,CVT Transmission,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Buick,"$16,999",Roadmaster Estate,1996,"119,500 mi.",Gasoline,4-Speed A/T,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Land,"$36,500",Rover Range Rover 5.0L Supercharged,2017,"101,800 mi.",Gasoline,A/T,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$42,691",Expedition Max XLT,2021,"84,351 mi.",Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,None reported
Nissan,"$6,700",Leaf SL,2012,"26,930 mi.",,1-Speed A/T,107.0HP Electric Motor Electric Fuel System,None reported
Toyota,"$42,886",Tacoma TRD Pro,2019,"40,698 mi.",Gasoline,6-Speed,3.5L V6 24V PDI DOHC,None reported
Mercedes-Benz,"$112,500",AMG GT 63 S 4-Door,2020,"40,000 mi.",Gasoline,9-Speed A/T,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$29,000",230 i,2019,"30,000 mi.",Gasoline,8-Speed A/T,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Lexus,"$10,600",ES 350 Base,2007,"78,980 mi.",Gasoline,6-Speed A/T,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Porsche,"$69,995",911 Carrera S Cabriolet,2007,"28,844 mi.",Gasoline,6-Speed Manual,3.8L H6 24V MPFI DOHC,
Porsche,"$96,900",Taycan Turbo,2020,"21,028 mi.",,Single-Speed Fixed Gear,Dual AC Electric Motors,None reported
Maserati,"$88,950",Levante Modena,2023,"5,409 mi.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported
Dodge,"$69,900",Challenger SRT Hellcat,2020,"12,700 mi.",Gasoline,8-Speed A/T,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mazda,"$25,900",Mazda6 Touring,2021,"19,000 mi.",Gasoline,A/T,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,
Audi,"$48,000",S4 3.0T Premium,2019,"12,000 mi.",Gasoline,A/T,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$33,900",Mustang GT Premium,2016,"25,717 mi.",Gasoline,6-Speed M/T,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$44,400",Model Y Long Range,2022,"12,055 mi.",,A/T,425.0HP Electric Motor Electric Fuel System,None reported
Audi,"$23,000",TTS 2.0T Premium Plus,2011,"69,700 mi.",Gasoline,6-Speed A/T,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$55,000",M2 Competition,2020,"25,013 mi.",Gasoline,7-Speed A/T,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Audi,"$54,900",Q4 e-tron Sportback Premium,2023,"1,156 mi.",,A/T,295.0HP Electric Motor Electric Fuel System,None reported
BMW,"$27,500",740 i,2016,"57,939 mi.",Gasoline,8-Speed A/T,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$49,999",AMG GLE 43 Coupe 4MATIC,2018,"52,694 mi.",Gasoline,Transmission w/Dual Shift Mode,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$37,000",S-Class S 550 4MATIC,2015,"54,000 mi.",Gasoline,7-Speed A/T,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Honda,"$27,000",S2000 Base,2002,"110,500 mi.",Gasoline,6-Speed M/T,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$10,000",Corvette Base,2000,"97,500 mi.",Gasoline,6-Speed M/T,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$35,387",Colorado Z71,2020,"20,909 mi.",Gasoline,Automatic,3.6L V6 24V GDI DOHC,None reported
Mercedes-Benz,"$40,000",S-Class S 63 AMG,2013,"77,648 mi.",Gasoline,7-Speed A/T,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,None reported
Bentley,"$64,000",Continental GTC Base,2013,"79,422 mi.",Gasoline,8-Speed A/T,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,None reported
GMC,"$16,900",Sierra 2500 SLE H/D Extended Cab,2002,"53,850 mi.",Gasoline,A/T,340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$42,000",SQ5 3.0T Premium,2020,"21,832 mi.",Gasoline,8-Speed A/T,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$18,700",Corolla iM Base,2017,"41,932 mi.",Gasoline,6-Speed M/T,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,None reported
GMC,"$34,999",Yukon XL SLT,2017,"110,000 mi.",Gasoline,A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$47,500",Tundra 1794,2020,"67,400 mi.",Gasoline,A/T,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$24,000",WRX Premium,2017,"62,662 mi.",Gasoline,M/T,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Subaru,"$18,000",WRX Base,2015,"102,000 mi.",Gasoline,M/T,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
INFINITI,"$16,488",Q50 Premium,2014,"79,785 mi.",Gasoline,7-Speed A/T,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$24,950",Suburban Premier,2017,"166,549 mi.",Gasoline,6-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$8,900",Sequoia Limited,2006,"190,656 mi.",Gasoline,A/T,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Dodge,"$37,500",Challenger R/T Scat Pack,2016,"7,928 mi.",–,6-Speed M/T,–,None reported
Porsche,"$15,000",Cayenne GTS,2009,"135,606 mi.",Gasoline,Transmission w/Dual Shift Mode,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,None reported
Kia,"$39,900",Telluride S,2023,"14,700 mi.",Gasoline,8-Speed A/T,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$96,000",AMG E 63 S 4MATIC,2019,"12,985 mi.",Gasoline,9-Speed A/T,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$64,995",Z4 sDrive35is,2014,"4,200 mi.",Gasoline,Transmission w/Dual Shift Mode,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$23,500",Impreza 2.0i Sport,2017,"44,000 mi.",Gasoline,5-Speed M/T,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$12,000",Dart SE,2015,"66,000 mi.",Gasoline,6-Speed M/T,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Land,"$89,900",Rover Range Rover P525 Westminster,2021,"17,945 mi.",Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,None reported
Nissan,"$17,500",370Z Base,2013,"106,700 mi.",Gasoline,6-Speed M/T,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$55,000",Escalade ESV Luxury,2020,"120,000 mi.",Gasoline,10-Speed A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$19,900",E-Class E 350,2012,"59,600 mi.",Gasoline,Transmission w/Dual Shift Mode,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Kia,"$8,900",Optima Hybrid EX,2012,"117,220 mi.",Hybrid,A/T,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Chevrolet,"$67,500",Silverado 3500 LTZ,2022,"85,200 mi.",Diesel,10-Speed A/T,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,None reported
Volkswagen,"$24,325",Golf GTI 2.0T SE 4-Door,2018,"63,450 mi.",Gasoline,6-Speed M/T,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$22,500",Ram 1500 SRT-10,2004,"73,000 mi.",Gasoline,6-Speed M/T,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,None reported
Scion,"$11,495",tC Anniversary Edition,2014,"115,000 mi.",Gasoline,6-Speed M/T,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Land,"$49,900",Rover Range Rover 5.0L Supercharged Autobiography,2016,"56,000 mi.",Gasoline,8-Speed A/T,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$40,900",LS 500 Base,2018,"67,296 mi.",Gasoline,"Automatic, 10-Spd","3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv",None reported
Chevrolet,"$16,000",Suburban 1500 LT,2015,"179,200 mi.",Gasoline,6-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Maserati,"$44,999",GranTurismo Base,2015,"28,000 mi.",Gasoline,6-Speed A/T,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$55,000",911 Carrera Turbo,2003,"155,000 mi.",Gasoline,6-Speed M/T,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$8,500",Sonata Hybrid Base,2012,"154,000 mi.",Hybrid,A/T,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
Cadillac,"$18,955",CTS Luxury,2012,"62,500 mi.",Gasoline,6-Speed A/T,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$2,500",323 Ci,2000,"177,700 mi.",Gasoline,5-Speed A/T,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$26,000",Model 3 Standard Range Plus,2019,"83,700 mi.",,A/T,Electric Motor Electric Fuel System,At least 1 accident or damage reported
Chevrolet,"$6,500",1500 Cheyenne Extended Cab,1995,"120,000 mi.",–,4-Speed A/T,–,At least 1 accident or damage reported
Nissan,"$21,500",370Z Touring,2012,"65,000 mi.",Gasoline,6-Speed M/T,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$38,598",GLS 450 Base 4MATIC,2018,"62,808 mi.",Gasoline,Automatic,3.0 Liter DOHC Twin Turbo,At least 1 accident or damage reported
Ford,"$49,500",Mustang GT Premium,2021,"3,000 mi.",Gasoline,6-Speed M/T,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$12,000",Q5 2.0T Premium,2012,"119,000 mi.",Gasoline,A/T,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
RAM,"$25,000",2500 Big Horn,2013,"198,868 mi.",Diesel,6-Speed A/T,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,None reported
Dodge,"$8,500",Ram 1500 ST,2011,"188,000 mi.",Gasoline,A/T,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$10,750",C-Class C 300 4MATIC Sport,2013,"157,405 mi.",Gasoline,A/T,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$62,500",Challenger SRT Hellcat,2016,"8,228 mi.",Gasoline,8-Speed A/T,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Land,"$42,950",Rover Range Rover 3.0L Supercharged HSE,2018,"73,101 mi.",Gasoline,A/T,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$60,995",M4 Base,2018,"10,950 mi.",Gasoline,6-Speed M/T,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$47,000",S-Class S 560 4MATIC,2018,"63,160 mi.",Gasoline,A/T,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Land,"$68,900",Rover Range Rover 5.0L V8 Supercharged,2019,"31,866 mi.",Gasoline,"Automatic, 8-Spd","5L V-8 gasoline direct injection, DOHC, variable valve control,",None reported
Chevrolet,"$18,900",Express 3500 Base,2009,"75,000 mi.",Gasoline,A/T,319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$36,000",4Runner TRD Pro,2016,"98,000 mi.",Gasoline,A/T,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mazda,"$18,900",MX-5 Miata Grand Touring,2012,"33,576 mi.",Gasoline,6-Speed M/T,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Volkswagen,"$12,449",Touareg VR6 Lux,2012,"123,200 mi.",Gasoline,A/T,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jaguar,"$8,800",XJ Base,2013,"112,000 mi.",Gasoline,A/T,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$19,500",Camaro 2SS,2010,"68,000 mi.",Gasoline,6-Speed A/T,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
INFINITI,"$14,500",G37 x,2012,"120,000 mi.",Gasoline,Transmission w/Dual Shift Mode,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$46,999",X6 xDrive50i,2019,"45,000 mi.",Gasoline,8-Speed A/T,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$39,500",Camaro LT1,2022,"6,700 mi.",Gasoline,10-Speed A/T,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$108,900",Taycan Base,2021,"6,785 mi.",,2-Speed Automatic,Electric,None reported
Mercedes-Benz,"$59,750",S-Class S 63 AMG,2015,"40,900 mi.",Gasoline,7-Speed A/T,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$45,000",Escalade ESV Premium Luxury,2018,"74,150 mi.",Gasoline,10-Speed A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$15,999",Camry Hybrid XLE,2014,"94,448 mi.",Hybrid,A/T,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Audi,"$19,998",A6 3.0T Prestige,2015,"108,000 mi.",Gasoline,Transmission w/Dual Shift Mode,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$17,000",X5 M Base,2012,"118,000 mi.",Gasoline,Transmission w/Dual Shift Mode,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jaguar,"$57,500",F-PACE SVR,2020,"38,800 mi.",Gasoline,Transmission w/Dual Shift Mode,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$40,000",740 i,2017,"55,000 mi.",Gasoline,Transmission w/Dual Shift Mode,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$49,999",M340 i xDrive,2021,"34,967 mi.",Hybrid,8-Speed A/T,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,At least 1 accident or damage reported
Jeep,"$30,000",Wrangler Unlimited Sport,2016,"85,325 mi.",Gasoline,5-Speed A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
RAM,"$36,000",2500 Tradesman,2018,"63,750 mi.",Gasoline,6-Speed A/T,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$19,999",Mustang V6,2016,"87,248 mi.",Gasoline,6-Speed A/T,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$15,900",328 i,1997,"206,000 mi.",Gasoline,5-Speed M/T,190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$11,999",GL-Class GL 450,2011,"112,854 mi.",Gasoline,7-Speed A/T,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Rivian,"$96,850",R1S Adventure Package,2023,"1,150 mi.",,A/T,835.0HP Electric Motor Electric Fuel System,None reported
Tesla,"$48,000",Model Y Long Range,2023,"10,000 mi.",,A/T,425.0HP Electric Motor Electric Fuel System,None reported
Mercedes-Benz,"$53,000",E-Class E 350,2022,"14,100 mi.",Gasoline,9-Speed A/T,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$85,495",X7 xDrive40i,2023,"14,360 mi.",Hybrid,8-Speed A/T,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
Chevrolet,"$32,000",Trailblazer RS,2023,"10,000 mi.",Gasoline,9-Speed A/T,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$20,000",Suburban 1500 LTZ,2015,"217,500 mi.",Gasoline,A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$60,995",Suburban Premier,2021,"73,846 mi.",Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,None reported
Jeep,"$45,000",Gladiator Overland,2020,"40,000 mi.",Gasoline,Transmission w/Dual Shift Mode,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
GMC,"$82,000",Yukon XL AT4,2023,"9,980 mi.",Gasoline,10-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Mazda,"$24,995",Mazda6 Grand Touring Reserve,2019,"41,997 mi.",Gasoline,6-Speed A/T,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Alfa,"$39,000",Romeo Giulia Ti,2021,"2,000 mi.",Gasoline,8-Speed A/T,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$22,999",CLA-Class CLA 250,2016,"42,750 mi.",Gasoline,Transmission w/Dual Shift Mode,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$31,698",330 330i xDrive,2019,"19,473 mi.",Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,None reported
Volkswagen,"$23,000",Beetle 2.0T S,2019,"35,340 mi.",Gasoline,A/T,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$12,000",CLK-Class CLK 350,2008,"93,000 mi.",Gasoline,7-Speed A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$47,995",RS 7 4.0T Prestige,2014,"66,150 mi.",Gasoline,8-Speed A/T,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Volvo,"$54,599",XC60 Recharge Plug-In Hybrid T8 Inscription,2022,"19,352 mi.",Plug-In Hybrid,8-Speed A/T,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,None reported
Land,"$64,800",Rover Range Rover Supercharged LWB,2020,"81,000 mi.",Gasoline,A/T,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$16,000",Sequoia Limited,2011,"183,000 mi.",Gasoline,6-Speed A/T,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$24,999",Wrangler X,2004,"44,000 mi.",Gasoline,M/T,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$51,800",S5 3.0T Premium,2021,"18,100 mi.",Gasoline,8-Speed A/T,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Land,"$20,000",Rover Range Rover Sport Supercharged,2011,"40,000 mi.",Gasoline,Transmission w/Dual Shift Mode,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$31,999",Sprinter 2500,2011,"120,000 mi.",Diesel,5-Speed A/T,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,None reported
Toyota,"$84,997",Sequoia Platinum,2023,325 mi.,Hybrid,10-Speed A/T,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,None reported
Maserati,"$39,100",Quattroporte S GranLusso,2017,"55,000 mi.",Gasoline,A/T,405.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$7,500",Land Cruiser Base,1996,"233,000 mi.",–,A/T,–,None reported
Lamborghini,"$749,950",Aventador SVJ Base,2021,"6,987 mi.",Gasoline,7-Speed,6.5L V12 48V MPFI DOHC,None reported
Ford,"$44,999",Mustang Bullitt,2019,"48,500 mi.",Gasoline,6-Speed M/T,480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
RAM,"$50,000",2500 Tradesman,2018,"52,000 mi.",Diesel,6-Speed A/T,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,None reported
Toyota,"$17,900",FJ Cruiser Base,2007,"179,000 mi.",Gasoline,A/T,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Dodge,"$42,000",Charger Scat Pack,2019,"42,626 mi.",Gasoline,8-Speed A/T,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$34,700",GX 460 Base,2018,"65,900 mi.",Gasoline,Transmission w/Dual Shift Mode,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Genesis,"$54,543",GV80 2.5T,2022,"7,523 mi.",Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC Turbo,None reported
Jaguar,"$59,598",F-PACE 30t R-Sport,2019,"34,365 mi.",Gasoline,Automatic,2.0 Liter,None reported
Kia,"$24,995",Sportage S,2021,"16,949 mi.",Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,None reported
Mercedes-Benz,"$104,999",S-Class S 580 4MATIC,2022,"7,968 mi.",Hybrid,9-Speed A/T,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
Porsche,"$57,500",Panamera Base,2018,"61,000 mi.",Gasoline,Transmission w/Dual Shift Mode,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
INFINITI,"$23,105",QX80 Base,2018,"100,564 mi.",Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,None reported
Ford,"$39,500",Maverick Lariat,2022,"13,700 mi.",Hybrid,CVT Transmission,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Kia,"$42,242",Telluride SX,2021,"38,612 mi.",Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,None reported
Chevrolet,"$7,995",Colorado Z85,2005,"155,000 mi.",Gasoline,A/T,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$35,750",E-Class E 550,2017,"56,000 mi.",Gasoline,Transmission w/Dual Shift Mode,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Land,"$114,900",Rover Range Rover Sport SVR,2022,"15,107 mi.",Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,None reported
Toyota,"$22,945",Corolla Hybrid LE,2022,"44,459 mi.",Hybrid,A/T,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Mercedes-Benz,"$38,000",E-Class E 300 4MATIC,2017,"31,000 mi.",Gasoline,A/T,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$22,222",SLK-Class SLK 350,2012,"44,000 mi.",Gasoline,Transmission w/Dual Shift Mode,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$47,645",E-Class E 400 4MATIC,2018,"22,558 mi.",Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported
Jeep,"$14,250",Wrangler X,2003,"116,157 mi.",Gasoline,4-Speed A/T,210.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Lincoln,"$50,000",Navigator Premiere,2018,"23,500 mi.",Gasoline,10-Speed A/T,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$31,000",Corvette Base,2008,"28,150 mi.",Gasoline,Transmission w/Dual Shift Mode,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
GMC,"$29,500",Yukon XL Denali,2016,"137,500 mi.",Gasoline,A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$157,500",Metris Base,2021,"2,284 mi.",Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported
Land,"$195,000",Rover Range Rover P530 SE LWB 7 Seat,2023,350 mi.,Gasoline,Transmission w/Dual Shift Mode,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$13,000",Explorer XLT,2017,"169,000 mi.",E85 Flex Fuel,A/T,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,None reported
Ferrari,"$243,900",488 GTB Base,2018,"17,761 mi.",Gasoline,7-Speed Automatic with Auto-Shift,3.9L V8 32V GDI DOHC Twin Turbo,None reported
Chevrolet,"$30,000",Camaro 2SS,2010,"8,949 mi.",Gasoline,M/T,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$66,000",750 i xDrive,2020,"25,108 mi.",Gasoline,8-Speed A/T,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,
Land,"$33,999",Rover Range Rover 3.0L Supercharged HSE,2016,"103,000 mi.",Gasoline,Transmission w/Dual Shift Mode,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$32,000",911 Carrera 4 Cabriolet,2003,"87,600 mi.",Gasoline,Transmission w/Dual Shift Mode,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Maserati,"$279,000",MC20 Base,2022,"1,087 mi.",Gasoline,8-Speed Automatic with Auto-Shift,3.0L V6 24V PDI DOHC Twin Turbo,None reported
